,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
157,Meyers Leonard,MIA,C,"$11,286,515.00","$4,644,925.85",27.0,10.6,309.0,51.0,1034.0,55.0,14.0,15.0
46,Steven Adams,OKC,C,"$25,842,697.00","$11,718,321.52",26.0,20.5,684.0,63.0,1680.0,146.0,51.0,67.0
80,Derrick Favors,NOP,C,"$17,650,000.00","$11,254,511.05",28.0,18.5,459.0,51.0,1243.0,81.0,30.0,46.0
204,Wayne Ellington,NYK,SG,"$7,804,878.00","$8,940,124.63",32.0,8.5,183.0,36.0,558.0,44.0,13.0,4.0
87,Bismack Biyombo,CHO,C,"$17,000,000.00","$7,631,306.39",27.0,16.1,393.0,53.0,1029.0,50.0,10.0,49.0
156,Robert Covington,HOU,C,"$11,301,219.00","$14,970,432.07",29.0,13.1,255.0,22.0,726.0,32.0,35.0,48.0
15,Mike Conley,UTA,PG,"$32,511,623.00","$16,013,022.55",32.0,14.1,675.0,47.0,1363.0,208.0,36.0,5.0
19,Paul Millsap,DEN,PF,"$30,500,000.00","$15,928,902.36",34.0,16.9,591.0,51.0,1240.0,83.0,44.0,30.0
139,Trevor Ariza,POR,SF,"$12,200,000.00","$16,768,800.96",34.0,11.0,231.0,21.0,702.0,41.0,34.0,8.0
71,Draymond Green,GSW,PF,"$18,539,130.00","$12,864,260.84",29.0,12.5,345.0,43.0,1222.0,266.0,59.0,33.0
173,Matthew Dellavedova,CLE,PG,"$9,607,500.00","$2,445,261.71",29.0,8.1,177.0,57.0,821.0,180.0,20.0,2.0
100,Ian Mahinmi,WAS,C,"$15,450,051.00","$14,274,500.97",33.0,14.2,283.0,38.0,808.0,49.0,31.0,44.0
16,Kyrie Irving,BRK,PG,"$31,742,000.00","$19,107,460.64",27.0,26.2,548.0,20.0,658.0,128.0,27.0,10.0
174,Dante Exum,CLE,SG,"$9,600,000.00","$5,639,562.63",24.0,10.3,135.0,24.0,402.0,33.0,12.0,6.0
62,Kent Bazemore,SAC,SG,"$19,269,662.00","$12,538,869.66",30.0,12.6,257.0,25.0,577.0,32.0,29.0,9.0
55,Victor Oladipo,IND,SG,"$21,000,000.00","$11,523,935.04",27.0,11.3,275.0,19.0,528.0,56.0,17.0,4.0
48,Marc Gasol,TOR,C,"$25,595,700.00","$15,867,329.04",35.0,11.8,331.0,44.0,1161.0,147.0,34.0,38.0
110,Marcus Morris,LAC,PF,"$15,000,000.00","$12,740,373.74",30.0,8.9,192.0,19.0,549.0,27.0,13.0,13.0
146,Jusuf Nurkić,POR,C,"$12,000,000.00","$14,535,869.09",25.0,22.6,141.0,8.0,253.0,32.0,11.0,16.0
102,James Johnson,MIN,PF,"$15,349,400.00","$15,869,016.78",32.0,11.1,168.0,14.0,338.0,53.0,19.0,19.0
68,Jeff Teague,ATL,PG,"$19,000,000.00","$14,043,586.80",31.0,15.9,193.0,25.0,519.0,100.0,19.0,6.0
126,Justise Winslow,MIA,SF,"$13,000,000.00","$7,940,326.72",23.0,8.5,124.0,11.0,352.0,44.0,7.0,5.0
32,D'Angelo Russell,MIN,PG,"$27,285,000.00","$12,210,224.80",23.0,19.1,260.0,12.0,392.0,79.0,17.0,4.0
81,Reggie Jackson,LAC,PG,"$17,286,956.00","$12,795,056.91",29.0,13.7,161.0,17.0,362.0,54.0,5.0,4.0
29,Andrew Wiggins,GSW,SG,"$27,504,630.00","$12,575,258.92",24.0,17.5,233.0,12.0,403.0,43.0,16.0,17.0
132,Courtney Lee,DAL,SG,"$12,759,670.00","$13,046,526.86",34.0,10.8,107.0,24.0,345.0,12.0,18.0,6.0
7,Blake Griffin,DET,PF,"$34,234,964.00","$14,484,234.62",30.0,11.9,279.0,18.0,512.0,59.0,7.0,7.0
90,Gorgui Dieng,MEM,C,"$16,229,213.00","$14,459,453.87",30.0,17.8,123.0,17.0,318.0,15.0,14.0,17.0
95,Brandon Knight,DET,PG,"$15,643,750.00","$10,684,220.07",28.0,5.4,104.0,9.0,221.0,38.0,5.0,1.0
34,Otto Porter,CHI,SF,"$27,250,576.00","$11,645,780.42",26.0,15.8,167.0,14.0,331.0,25.0,15.0,6.0
40,Andre Drummond,CLE,C,"$27,093,019.00","$14,689,499.61",26.0,22.1,140.0,8.0,225.0,14.0,12.0,11.0
0,Stephen Curry,GSW,PG,"$40,231,758.00","$18,588,051.70",31.0,21.7,104.0,5.0,139.0,33.0,5.0,2.0
